Id, label
16195	,	Charles	XIV	John	of	Sweden								
16200	,	Arthur	Griffith											
16202	,	Nicolae	Iorga											
16204	,	Konstantin	Ghilian	Karl	d'Aspr&#233									
16295	,	Willy	Brandt											
16391	,	Leslie	Morshead											
16470	,	Woodland	period											
16486	,	Army	of	the	Tennessee									
16518	,	Alexander	Godley											
16527	,	George	Iva&#537	cu										
16528	,	South	African	Border	War									
16605	,	Easter	Offensive											
16620	,	Siege	of	Louisbourg	-1758									
16643	,	Battle	of	Bladensburg										
16645	,	Raoul	Wallenberg											
16651	,	Carl	Gustaf	Emil	Mannerheim									
16682	,	Tehran	Conference											
16704	,	Stanley	Savige											
16758	,	Ramsey	Clark											
16759	,	Battle	of	Germantown										
16768	,	Declaration	of	war	by	the	United	States						
16773	,	Axis	powers											
16778	,	Banana	Wars											
16797	,	Morgan's	Raid											
16810	,	Great	Northern	War										
16843	,	Combined	Bomber	Offensive										
16845	,	Gustav	III	of	Sweden									
16856	,	Soviet	occupation	zone										
16875	,	Agamemnon												
16896	,	Norsk	biografisk	leksikon										
16924	,	Battle	of	Jarama										
16954	,	Fat	Man											
16989	,	Charles	Fran&#231	ois	Dumouriez									
17027	,	Ottoman	Syria											
17080	,	Herbert	Hoover											
17084	,	Tuvalu												
17085	,	Edvard	Bene&#353											
17116	,	Operation	Slapstick											
17147	,	Walton	Walker											
17153	,	Battle	of	Salamanca										
17197	,	Richard	Nixon											
17231	,	Justinian	I											
17281	,	Electoral	College	(United	States)									
17282	,	Robert	the	Bruce										
17332	,	Stalag	Luft	III	murders									
17346	,	Battle	of	Spotsylvania	Court	House								
17369	,	War	of	the	Quadruple	Alliance								
17373	,	Edward	Canby											
17422	,	Memorial	Day											
17458	,	Ruhr	Pocket											
17476	,	Stephen	Roskill											
17527	,	Yellow	Peril											
17564	,	Battle	of	Halidon	Hill									
17573	,	Italian	Social	Republic										
17596	,	Constantin	Stere											
17610	,	Battle	of	W&#252	rzburg									
17613	,	Fran&#231	ois	Xavier	de	Schwarz								
17641	,	Reserve	Cavalry	Corps	(Grande	Arm&#233	e)							
17703	,	Peloponnesian	War											
17705	,	Battle	of	Tippecanoe										
17721	,	Portuguese	Colonial	War										
17767	,	Overland	Campaign											
17774	,	John	Vereker											
17876	,	Manchukuo												
17915	,	Tullahoma	Campaign											
17992	,	Joseph	Goebbels											
17997	,	Jewish	Agency	for	Israel									
18055	,	Isoroku	Yamamoto											
18073	,	Outline	of	World	War	II								
18263	,	Jacob	Fran&#231	ois	Marulaz									
18306	,	Greek	Civil	War										
18310	,	Siege	of	Corinth										
18331	,	Battle	of	the	Plains	of	Abraham							
18372	,	Semyon	Timoshenko											
18376	,	Isaac	Brock											
18401	,	Battle	of	Chickamauga										
18404	,	Battle	of	Teugen-Hausen										
18453	,	Battle	of	Churubusco										
18489	,	Conclusion	of	the	American	Civil	War							
18499	,	March	on	Rome										
18526	,	Thomas	Graham											
18534	,	Battle	of	Fort	Henry									
18580	,	Wars	of	Scottish	Independence									
18590	,	Operation	Torch											
18610	,	Alexander	II	of	Russia									
18621	,	Williamsburg	Union	order	of	battle								
18644	,	Wehrmachtbericht												
18775	,	Peruvian	War	of	Independence									
18812	,	George	Jones	(RAAF	officer)									
18829	,	Kanalkampf												
18841	,	Illyrians												
18850	,	Index	of	World	War	II	articles	(A)						
18879	,	World	War	II	in	Yugoslavia								
18976	,	Underground	media	in	German-occupied	Europe								
19064	,	George	Washington	in	the	American	Revolution							
19122	,	Robert	II	of	Scotland									
19139	,	Franco-Dutch	War											
19194	,	Lakota	people											
19201	,	Aggadah												
19207	,	Philip	VI	of	France									
19211	,	George	Stoneman											
19236	,	Black	and	Tans										
19294	,	Alexander	Kolchak											
19323	,	Strom	Thurmond											
19336	,	Battle	of	Big	Bethel									
19368	,	Serbo-Bulgarian	War											
19462	,	Bartolom&#233		Mitre										
19485	,	Japanese	Instrument	of	Surrender									
19518	,	Confederate	Heartland	Offensive										
19532	,	Battle	of	Pavia										
19551	,	Great	Purge											
19567	,	Naval	Battle	of	Guadalcanal									
19617	,	Karl	Philipp	von	Wrede									
19619	,	American	Old	West										
19667	,	Battle	of	L&#252	tzen	-1813								
19668	,	Congress	of	Vienna										
19686	,	Battle	of	Cross	Keys									
19715	,	Oil	Campaign	of	World	War	II							
19758	,	Foreign	relations	of	the	Axis	powers							
19789	,	Colorado	Territory											
19929	,	Gherman	P&#226	ntea										
19990	,	Prague	Offensive											
19993	,	Sykes&#8211	Picot	Agreement										
19996	,	Franz	Halder											
20002	,	Habsburg	Monarchy											
20053	,	War	of	the	Fourth	Coalition								
20084	,	Soviet&#8211	Afghan	War										
20100	,	Battle	of	Thermopylae										
20108	,	Greater	East	Asia	Co-Prosperity	Sphere								
20178	,	John	Adams											
20181	,	FN	FAL											
20207	,	Antony	Beevor											
20265	,	Henry	Dearborn											
20315	,	Ottoman&#8211	Habsburg	wars										
20401	,	Cretan	War	(1645&#8211	69)									
20428	,	Cold	Harbor	Union	order	of	battle							
20516	,	Gordon	Granger											
20537	,	Nisei												
20656	,	War	of	the	Pyrenees									
20951	,	Morgenthau	Plan											
21016	,	Oliver	Leese											
21077	,	Sri	Lankan	Civil	War									
21123	,	Chevau-l&#233	ger											
21166	,	Byzantine&#8211	Sasanian	War	of	602&#8211	628							
21183	,	Uhlan												
21188	,	Battle	of	Cedar	Creek									
21222	,	Yugoslav	Wars											
21252	,	Battle	of	Kaiserslautern										
21280	,	J&#233	r&#244	me	Bonaparte									
21285	,	Japanese	occupation	of	the	Philippines								
21332	,	Babylonian	captivity											
21371	,	Department	of	the	Missouri									
21389	,	Kadena	Air	Base										
21394	,	Abdullah	I	of	Jordan									
21402	,	Edward	II	of	England									
21461	,	Thaddeus	Stevens											
21463	,	Siege	of	H&#252	ningen	(1796&#8211	97)							
21500	,	American	imperialism											
21690	,	Jeffery	Amherst											
21723	,	Simon	Girty											
21842	,	Allied	invasion	of	Sicily									
21843	,	Jean-de-Dieu	Soult											
21881	,	First	French	Empire										
21917	,	Alfred	Pleasonton											
21966	,	Knights	of	the	Golden	Circle								
22001	,	Outline	of	the	Vietnam	War								
22003	,	Gunboat	War											
22019	,	Milan	Nedi&#263											
22038	,	Maurice	Sarrail											
22084	,	Battle	of	Jenkins'	Ferry									
22168	,	Chickamauga	Union	order	of	battle								
22214	,	Home	front	during	World	War	I							
22268	,	Mao	Zedong											
22406	,	Berghof	(residence)											
22455	,	Army	of	the	Mississippi									
22482	,	Gerd	von	Rundstedt										
22530	,	Vladimir	Lenin											
22586	,	Battle	of	Mughar	Ridge									
22599	,	War	Artists'	Advisory	Committee									
22799	,	George	Elphinstone											
22832	,	Gamal	Abdel	Nasser										
22844	,	Office	of	Strategic	Services									
22986	,	Walter	Raleigh											
23007	,	John	Pope	(military	officer)									
23024	,	Mexican&#8211	American	War										
23059	,	Battle	of	Chaffin's	Farm									
23087	,	Hungary	in	World	War	II								
23093	,	Forest	Brothers											
23108	,	Battle	of	Luzon										
23114	,	Pablo	Morillo											
23137	,	George	Germain											
23203	,	George	Dewey											
23210	,	Romania	in	World	War	II								
23220	,	Background	of	the	Winter	War								
23239	,	Three	Kingdoms											
23279	,	Battle	of	Heilsberg										
23300	,	Sino-Soviet	split											
23309	,	First	Bull	Run	Confederate	order	of	battle						
